bad,good
LT500 QUADRACER,QUADRACER 500
LT125 QUAD RUNNER,Quadrunner 125
LT185 QUAD RUNNER,Quadrunner 185
LT230E QUAD RUNNER,Quadrunner 230
LT230GE QUAD RUNNER,Quadrunner 230
LT230S QUADSPORT,Quadsport 230
LT250R QUADRACER,Quadracer 250
LT250S QUAD SPORT,Quadsport 250
LT80 QUADSPORT,Quadsport 80
RUBICON 500 4X4,Foreman Rubicon 500
RUBICON 500 4x4 Automatic,Foreman Rubicon 500
RUBICON 500 GPS 4x4,Foreman Rubicon 500
DR-Z 400,DRZ400
DR-Z 400E,DRZ400E
DR-Z 400S,DRZ400S
DR-Z 400SM,DRZ400SM
YZ125X,YZ125
FE 250,FE250
FE 350,FE350
FE 350 S,FE350S
FE 450,FE450
FE 501,FE501
FE 501 S,FE501S
FE 570,FE570
FC 250,FC250
FC 350,FC350
FC 450,FC450
TE 125,TE125
TE 250,TE250
TE 300,TE300
FX 450,FX450
TRX 450R,TRX450R
TRX 450ER,TRX450ER
TX 125,TX125
TX 300,TX300
TX 300i,TX300
TX 500,TX500
TX 510,TX510
TX 650,TX650
TX 750,TX750
FE 390,FE390
FC 450 Rockstar Edition,FC450
FX 350,FX350
TC 125,TC125
TC 65,TC65
TC 85 17/14,TC85
TC 85 19/16,TC85
TE 150,TE150
TE 150i (Fuel Injected),TE150
TE 250i (Fuel Injected),TE250i
TE 300i (Fuel Injected),TE300I
KFX 450R,KFX450R
RAPTOR 700R,Raptor 700R
Gold Wing Aspencade GL1500A,Goldwing 1500
Gold Wing GL1500,Goldwing 1500
Gold Wing GL1500SE,Goldwing 1500
Gold Wing GL1200,Goldwing 1200
Gold Wing GL1500C,Goldwing 1500
Gold Wing GL1500CT,Goldwing 1500
Super Hawk VTR1000F,Super Hawk 1000
Ninja ZX-6 (ZX600D),Ninja ZX6
Ninja ZX-6 (ZX600E),Ninja ZX6
Ninja ZX-6R,Ninja ZX6R
Ninja ZX-6R (ABS),Ninja ZX6R
Ninja ZX-6RR,Ninja ZX6RR
Vulcan Classic VN800B,Vulcan 800
Vulcan Drifter VN800,Vulcan 800
Vulcan VN800A,Vulcan 800
Gladius SFV650,SFV650
Katana GSX600F,Katana 600
Katana GSX750F,Katana 750
Vulcan Classic VN1600A,Vulcan 1600
Vulcan Nomad VN1600D,Vulcan 1600
V-Max,VMAX
CRF450R Works Edition,CRF450RWE
CB919F (Hornet),CB900F
V-Strom 1000 DL1000,Vstrom 1000
DVX 400,400
480 RR,480
DR-Z 110,DRZ110
LT-R 450 QUADRACER,Quadracer 450
498 RR,498
250 RR,250
300 RR,300
350 RR,350
450 RR,450
ATC 250ES BIG RED,ATC250R
ATC 250SX,ATC250SX
RANCHER AT 400,Rancher 400
RANCHER AT GPS 400,Rancher 400
Shadow 1100 ACE Tour VT1100T,Shadow ACE 1100
Shadow 1100 ACE VT1100C2,Shadow ACE 1100
Shadow 1100 Aero VT1100C3,Shadow Aero 1100
Shadow 1100 Sabre VT1100C2,Shadow Sabre 1100
Shadow 1100 Spirit VT1100C,Shadow Spirit 1100
Shadow 750 Aero VT750C,Shadow Aero 750
Shadow 750 Phantom VT750C2,Shadow Phantom 750
Shadow 750 Spirit VT750C2,Shadow Spirit 750
TRX 250 RECON,Recon 250
TRX 250 RECON ES,Recon 250
TRX 250 UTILITY FOURTRAX,FourTrax 250
TRX 250R FOURTRAX,FourTrax 250
TRX 250X,TRX250X
TRX 300P FOURTRAX,FourTrax 300
TRX 400 4X4 FOREMAN,Foreman 400
TRX 400X,TRX400X
TRX 450S/ES 4X4 FOREMAN,Foreman 450
TRX 500 4x4 FOREMAN,Foreman 500
TRX 500 4x4 FOREMAN ES,Foreman 500
TC 50,TC50
KFX 400,KFX400
KFX 700,KFX700
TECATE-3 250,250
TECATE-4 250,250
Vulcan VN750,Vulcan 750
Z400 QUADSPORT,Quadsport Z400
BIG BEAR 2x4 350,Big Bear 350
BIG BEAR 4x4 350,Big Bear 350
V-Star 650 Classic,V Star 650
V-Star 650 Custom,V Star 650
XJ1100 Maxim,Maxim 1100
TRX 400EX,TRX400X
TRX 700XX,TRX700XX
CR 125,CR125
CR 250,CR250
FS 450,FS450
TC 450,TC450
TC 510,TC510
TC 570,TC570
TC 610,TC610
TE 400,TE400
TE 410,TE410
TE 450,TE450
TE 510,TE510
TE 570,TE570
TE 610,TE610
WR 125,WR125
WR 250,WR250
WR 300,WR300
WR 360,WR360
DR-Z 125,DRZ125
DR-Z 125L,DRZ125L
RZR XP 4 1000 DYNAMIX Edit.,RZR XP 4 1000
RZR XP 4 1000 RIDE COMMAND Edit.,RZR XP 4 1000
Commander 800R DPS,Commander 800R
Commander 800R XT,Commander 800R
Commander Max 1000 DPS,Commander Max 1000
Commander Max 1000 XT,Commander Max 1000
Commander Max 800R DPS,Commander Max 800R
Defender HD5 DPS,Defender HD5
Defender HD8 DPS,Defender HD8
Defender HD8 Max DPS,Defender Max HD8
Defender HD8 Max XT,Defender Max HD8
Defender HD8 XT,Defender HD8
Maverick Max 1000 X ds,Maverick 1000
Maverick Max 1000 X ds Turbo,Maverick 1000
