Product Name,Description,Price,List Price,Manufacturer,Brand,SKU,MPN,Bullet 1,Bullet 2,Bullet 3,Bullet 4,Bullet 5,Image 1,Image 2,Image 3,Image 4
Element Oil Filter for BSA BSA Unit Singles All Years,"Emgo oil filters are proven, high quality filters that meet all warranty performance requirements of OEM parts. The endurance of the machine depends on products that will stand up to the high speeds and hour after hour high rpm running at the track. High performance oil filter with a high oil flow capacity to withstand high heat and pressures",12.82,,EMGO,EMGO,202015#-108,202015#-108,North America's oldest and largest supplier of oil filters,Millions of Emgo oil filters have been used for street riding and competition road riding,"Emgo oil filters are proven, high quality filters",Meet all warranty performance requirements of OEM parts,High performance oil filter with a high oil flow capacity to withstand high heat and pressures,http://thed.zone/wp-content/uploads/2017/10/s-l1000.jpg,,,
Vesrah Clutch Friction Plates for Kawasaki  2004-2014,Vesrah clutch discs are manufactured to OEM specifications,92.21,,Vesrah,Vesrah,971264#-105,971264#-105,"Each clutch disc is made from high density, high friction material which reduces expansion and fading.","For complete rebuild, Qty (1) each of the friction plates, metal plates and spring sets are required per model. These are ust the friction plates",For Engine cc 250,,Friction Plates included are 8,http://thed.zone/wp-content/uploads/2017/11/1951-na-vesrah-clutch-disc-kit-8-piece-for-suzuki-gsx-r600-gsxr-600-gsxr600-2006-2007_500.jpg-500×500-.png,,,
BikeMaster Fork Seals for MX250 1973-1975,,,,BikeMaster,BikeMaster,429002/-72,,,,,,,,,,
BikeMaster Lithium-Ion Battery DLFP14ZS for GSX-R1100 1993-1998,"The most advanced high-power Lithium-Iron Phosphate battery technology available for your bike. BikeMaster Lithium-Iron Phosphate batteries will provide you with ultra-high cranking amps and twice the service life of a conventional battery. At 1/3 the weight of a lead acid battery, these batteries contain no corrosive liquids and no heavy metals, making them environmentally friendly. All BikeMaster Lithium-Ion batteries come with a two-year warranty.",158.68,198.35,BikeMaster,BikeMaster,780822/-629,BM-16408,148mm L x 87mm W x 94mm H,"Cylindrical cell with energy storage welding technology for higher output. Built-in charge and equalizing protection board, preventing battery from over charging.",Remarkably low self-discharge for extended storage periods.,Superior vibration-resistant construction allows multidirectional installation without damage.,Suitable for low-temperature environments. Temperature range 10 C - 55 C (14 F - 131F).,http://dealer.tucker.com/globalassets/images/84/8441/844132/Zoomed.jpg,,,
BikeMaster Lithium-Ion Battery DLFP14ZS for GSX-R600 1992-1993,"The most advanced high-power Lithium-Iron Phosphate battery technology available for your bike. BikeMaster Lithium-Iron Phosphate batteries will provide you with ultra-high cranking amps and twice the service life of a conventional battery. At 1/3 the weight of a lead acid battery, these batteries contain no corrosive liquids and no heavy metals, making them environmentally friendly. All BikeMaster Lithium-Ion batteries come with a two-year warranty.",158.68,198.35,BikeMaster,BikeMaster,780822/-630,BM-16409,148mm L x 87mm W x 94mm H,"Cylindrical cell with energy storage welding technology for higher output. Built-in charge and equalizing protection board, preventing battery from over charging.",Remarkably low self-discharge for extended storage periods.,Superior vibration-resistant construction allows multidirectional installation without damage.,Suitable for low-temperature environments. Temperature range 10 C - 55 C (14 F - 131F).,http://dealer.tucker.com/globalassets/images/84/8441/844132/Zoomed.jpg,,,
BikeMaster Lithium-Ion Battery DLFP14ZS for GSX-R750 1993,"The most advanced high-power Lithium-Iron Phosphate battery technology available for your bike. BikeMaster Lithium-Iron Phosphate batteries will provide you with ultra-high cranking amps and twice the service life of a conventional battery. At 1/3 the weight of a lead acid battery, these batteries contain no corrosive liquids and no heavy metals, making them environmentally friendly. All BikeMaster Lithium-Ion batteries come with a two-year warranty.",158.68,198.35,BikeMaster,BikeMaster,780822/-631,BM-16410,148mm L x 87mm W x 94mm H,"Cylindrical cell with energy storage welding technology for higher output. Built-in charge and equalizing protection board, preventing battery from over charging.",Remarkably low self-discharge for extended storage periods.,Superior vibration-resistant construction allows multidirectional installation without damage.,Suitable for low-temperature environments. Temperature range 10 C - 55 C (14 F - 131F).,http://dealer.tucker.com/globalassets/images/84/8441/844132/Zoomed.jpg,,,
BikeMaster High-Performance Maintenance Free Battery BTZ10S for Z650 2017  Factory activated.,"The BikeMaster High-Performance Maintenance Free Battery offers you up to 30% more cranking amps than a conventional battery thanks to additional plates located inside the battery. The battery will never need refilling, but will require charging during prolonged storage after the battery has been activated.",62.73,78.42,BikeMaster,BikeMaster,781381/-833,BM-48183,Additional plates inside battery provide up to 30% more power (cranking amps) than the conventional battery,"Once activated, requires charging during prolonged storage periods; never needs refilling",High level of power (cranking amps) for today's big bikes,,,http://dealer.tucker.com/globalassets/images/88/8825/8825101/Zoomed.jpg,,,
BikeMaster Clutch Lever Polished for MX250 1974-1975,"Made of tough, high-quality 6061-T6 aluminum.",24.21,30.27,BikeMaster,BikeMaster,71217/-1639,BM-38032,Engineered to O.E.M. specifications.,,,,,http://dealer.tucker.com/globalassets/images/30/3030/3030538/Zoomed.jpg,,,
BikeMaster Fork Seals for GS750ES 1978-1982,High-quality fork seals available for virtually every brand and model sold in the USA.,25.2,31.49,BikeMaster,BikeMaster,429024/-472,BM-42121,Available in high-performance with anti-stiction material,Made in Italy,"37 x 50 x 11, O.E., Sold as Pair",,,http://dealer.tucker.com/globalassets/images/94/9464/9464246/Zoomed.jpg,,,
BikeMaster Fork Seals for GSX-R600 1992-1993,High-quality fork seals available for virtually every brand and model sold in the USA.,26.19,32.74,BikeMaster,BikeMaster,429029/-579,BM-42228,Available in high-performance with anti-stiction material,Made in Italy,"41 x 54 x 11, O.E., Sold as Pair",,,http://dealer.tucker.com/globalassets/images/94/9464/9464246/Zoomed.jpg,,,
