model,closestMatch
DVX 400,HDX 500
TRX 250R FOURTRAX,FourTrax 125
TRX 450ER,TRX450ER
TRX 450R,TRX450R
KFX 400,KFX400
RMZ250,RMZ250
Z400 QUADSPORT,Quadsport 160
TTR230,TTR230
WR450F,WR450F
YFZ 450,YFZ450
YZ450F,YZ450F
CR125R,CR125R
CRF150R,CRF150R
CRF150R Expert,C650 Sport
CR250R,CR250R
CRF250R,CRF250R
CRF250X,CRF250X
XR400R,XR400R
CRF450R,CRF450R
CRF450X,CRF450X
CR500R,CR500R
65 SX,V65 Sabre
65 XC,450XC
125 EXC,125 Primavera
125 SX,125 Six Days
TC 125,TC 175
TE 125,Elite 125
144 SX,144
150 SX,Jet Ski 550 SX
150 XC,250 CSR
200 EXC,Multistrada 1200 E
200 MXC,250 CSR
200 SX,VMAX 500 SX
200 XC,250 CSR
200 XC-W,250 CSR
250 EXC,250 CSR
250 SX,ATC250SX
250 XC,250 CSR
250 XC-W,250 CSR
300 EXC,Jet Ski 300 SX
300 MXC,Jet Ski 300 SX
300 XC,305 CSR
300 XC-W,305 CSR
450 SX 4-Stroke,4 Stroke
450 XC-F,450XC
520 EXC 4 Stroke,4 Stroke
520 MXC 4 Stroke,4 Stroke
520 SX 4 Stroke,4 Stroke
525 EXC 4-Stroke,4 Stroke
525 MXC 4-Stroke,4 Stroke
525 SX 4-Stroke,4 Stroke
525 XC-F,525XC
525 XC-W,525XC
KX85,KX85
KX100,KX100
RM100,RM100
KX250F,KX250F
KX450F,KX450F
KX500,KX500
RM85,RM85
RM85L,RM85L
RM250,RM250
RMZ450,RMZ450
YZ85,YZ85
YZ125,YZ125
YZ250,YZ250
YZ250X,YZ250X
WR250F,WR250F
YZ250F,YZ250F
TRX 300EX,TRX300X
TRX 300X,TRX300X
BLASTER 200,Blaster 200
RAPTOR 350,Raptor 350
WARRIOR 350,Warrior 350
BANSHEE 350,Banshee 350
KX65,KX65
RM65,RM65
TRX 400EX,TRX400X
TRX 400X,TRX400X
CR85R,CR85R
CR85R Expert,851 Sport
TRX 90,TRX90X
CRF100F,CRF100F
XR100R,XR100R
CRF230F,CRF230F
TC 65,TC 250
